sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
InquiryRegistrationClientScenarioIT,83,15044,5940,38016,6691.412567879682,1.0,0.0066151287037049585,0.009653548723650767,1494.3373493975903
InquiryRegistrationServicesScenarioIT,81,15443,5661,33800,7150.901641317563,1.0,0.006645181673113998,0.009751297769114065,1502.641975308642
TaskList open test,57,47732,14080,125800,21910.371330995535,0.017543859649122806,0.004769594288268589,3.8275732672440497E-4,82.17543859649123
GlobalProblemScenarioIT,161,63175,1171,137832,24924.919813087145,0.024844720496894408,0.012846812059597718,0.0017739329176578395,141.3975155279503
searchServices,71,44710,15180,84807,14048.118253735558,0.0,0.00570699821057473,0.0,0.0
NotificationScenarioIT,163,31619,2804,96036,18800.993523247027,0.17177914110429449,0.013203200002073631,0.01267479356027285,983.0184049079754
NotitficationCancellationIT,82,19776,6384,54435,9632.145185442258,0.0,0.006648762576093871,0.0,0.0
InquiryRegistrationCCWithoutServiceScenarioIT,81,58781,23159,144934,22776.262130871444,1.0,0.006556690726483761,0.009877564779092542,1542.641975308642
inquiryRegistrationClientCardScenarioIT,80,54885,16700,121693,20383.764971996556,1.0,0.0065370719392509906,0.009684314581878664,1517.0
incidentWithVisitScenarioIT,31,61069,42840,85143,13372.921763131291,1.0,0.0028208747277742143,0.008856643794680721,3215.032258064516
incidentWithPhoneScenarioIT,31,41983,34409,51042,4753.2500381400005,1.0,0.0029943465770706657,0.021476305620832845,7344.419354838709
reassignRandomTask,44,52280,12186,181099,39158.20837877993,0.5,0.004005805139976033,0.012228303421349066,3125.909090909091
viewOlapReport,23,17016,5561,39146,8772.170436893772,1.0,0.002129308261808634,0.012956395961766882,6230.826086956522
searchClient,18,27755,16821,49007,7768.336249770999,0.0,0.001806794994615751,0.0,0.0
incidentForSelectedService,12,9779,6539,19647,3575.2790100913803,1.0,0.0015181197075342385,0.002268284328640024,1530.0
incidentForSelectedServiceScenario,12,51372,36182,75761,9838.135361382707,1.0,0.0015034916714705313,0.00900382040365995,6132.333333333333
incidentCancellationScenario,1,58741,58741,58741,0.0,1.0,0.017023884509967484,0.054163882552220766,3258.0
TOTAL,1031,40419,1171,181099,26037.166855110867,0.475266731328807,0.08200815133979922,0.10743940616255065,1341.54898157129
